,0,0
0,club_age,0.10674305421881683
1,club_birth_year,0.09370411746289395
2,club_games,0.006365169552849998
3,club_games_starts,-0.00914606247717686
4,club_minutes,-0.03022886855129606
5,club_goals,0.1178299555570343
6,club_assists,-0.010493431136337165
7,club_pens_made,0.36217170998086545
8,club_pens_att,0.11365675701313029
9,club_cards_yellow,-0.007500449637384721
10,club_cards_red,-0.10986369371447416
11,club_goals_per90,-10.649497853899549
12,club_assists_per90,4.271231613644208
13,club_goals_assists_per90,15.493744660555844
14,club_goals_pens_per90,10.898890216648303
15,club_goals_assists_pens_per90,-18.137060061094513
16,club_xg,1.1596189980249378
17,club_npxg,-1.255480917447212
18,club_xg_assist,0.07679909626174303
19,club_xg_per90,-12.48389507325013
20,club_xg_assist_per90,3.9517260496519984
21,club_xg_xg_assist_per90,1.9325365708979485
22,club_npxg_per90,24.97483221539743
23,club_npxg_xg_assist_per90,-8.125321007922691
24,club_minutes_90s,2.6963734306380203
25,club_shots_total,1.9070407752952434e-10
26,club_shots_on_target,-0.0347114068950237
27,club_shots_free_kicks,0.008934069353308444
28,club_shots_on_target_pct,0.01635913127073827
29,club_shots_total_per90,8.792903835597166e-10
30,club_shots_on_target_per90,-0.6388931809521592
31,club_goals_per_shot,0.2073196069541632
32,club_goals_per_shot_on_target,-0.46524547932365623
33,club_npxg_per_shot,0.07299278079218091
34,club_xg_net,-1.0417890429023067
35,club_npxg_net,1.0111391624287343
36,club_passes_completed,-0.023278293020758234
37,club_passes,0.010376140246596943
38,club_passes_pct,0.0032511156922063744
39,club_passes_total_distance,-9.393948962710397e-06
40,club_passes_progressive_distance,9.344663492782956e-06
41,club_passes_completed_short,0.021229182775371946
42,club_passes_short,-0.02007240182923553
43,club_passes_pct_short,0.002531019240146648
44,club_passes_completed_medium,0.024186056983410253
45,club_passes_medium,-0.0231118510031898
46,club_passes_pct_medium,0.010964658850281417
47,club_passes_completed_long,0.028190497113239843
48,club_passes_long,-0.025270029182502984
49,club_passes_pct_long,-0.013903034154884697
50,club_xg_assist_net,-0.08729252676445819
51,club_assisted_shots,-0.004840818882015263
52,club_passes_into_final_third,0.003426408570031292
53,club_passes_into_penalty_area,0.0023725704919645985
54,club_crosses_into_penalty_area,0.015559896221914782
55,club_progressive_passes,-0.00396988954028088
56,club_passes_live,0.007333788489076731
57,club_passes_dead,0.013995525815045262
58,club_passes_free_kicks,-0.0028880560822734935
59,club_through_balls,-0.02749293590189239
60,club_passes_pressure,-1.5040746426109308e-12
61,club_passes_switches,-0.00767217175324908
62,club_crosses,0.001620839990498446
63,club_corner_kicks,0.006242264824480426
64,club_corner_kicks_in,-0.034104950278643464
65,club_corner_kicks_out,-0.01335638009375728
66,club_corner_kicks_straight,0.06961917305843734
67,club_passes_ground,4.0487058150517896e-13
68,club_passes_low,-3.112177182629239e-12
69,club_passes_high,-6.178946243551309e-13
70,club_passes_left_foot,8.790745908981989e-13
71,club_passes_right_foot,-7.736034035588091e-13
72,club_passes_head,-2.3306634400199755e-12
73,club_throw_ins,-0.0035943586406883554
74,club_passes_other_body,-1.180944231293779e-12
75,club_passes_offsides,-0.010953174286806533
76,club_passes_oob,-4.886646642887627e-13
77,club_passes_intercepted,3.2058244947563708e-12
78,club_passes_blocked,-0.05186236582605197
79,club_sca,0.07222864003822949
80,club_sca_per90,0.08040811500610034
81,club_sca_passes_live,-0.06790447744472505
82,club_sca_passes_dead,-0.05982708141432802
83,club_sca_dribbles,-0.05817432338470008
84,club_sca_shots,-0.04693349920842449
85,club_sca_fouled,-0.09452285462177429
86,club_gca,-0.015406237223516861
87,club_gca_per90,-0.9271281388402459
88,club_gca_passes_live,0.0757702913283742
89,club_gca_passes_dead,0.06615668079694217
90,club_gca_dribbles,0.05657870578616755
91,club_gca_shots,0.07259272018014463
92,club_gca_fouled,-0.12487700509316835
93,club_gca_defense,-0.16162763019341803
94,club_tackles,0.009643495068207386
95,club_tackles_won,-0.008876314976300925
96,club_tackles_def_3rd,-0.009327712704854996
97,club_tackles_mid_3rd,0.009426558762433146
98,club_tackles_att_3rd,0.009544649038666808
99,club_dribble_tackles,-0.006644168865364231
100,club_dribbles_vs,-0.002758429407712981
101,club_dribble_tackles_pct,0.004944469698481946
102,club_dribbled_past,0.0038857394760405395
103,club_pressures,-7.016609515630989e-14
104,club_pressure_regains,1.7763568394002505e-15
105,club_pressure_regain_pct,-1.887379141862766e-15
106,club_pressures_def_3rd,-4.135580766728708e-14
107,club_pressures_mid_3rd,1.1102230246251565e-15
108,club_pressures_att_3rd,3.1086244689504383e-15
109,club_blocks,-0.001199856172695024
110,club_blocked_shots,-0.0026870273903876196
111,club_blocked_shots_saves,3.552713678800501e-15
112,club_blocked_passes,0.0014871711772941332
113,club_interceptions,-0.0061179140961948875
114,club_clearances,0.0032032219940916207
115,club_errors,0.014352041717785813
116,club_touches,-1.2175348731381785
117,club_touches_def_pen_area,-2.570391218803536e-05
118,club_touches_def_3rd,0.021144589812891468
119,club_touches_mid_3rd,0.020101013373857057
120,club_touches_att_3rd,0.020598877103918944
121,club_touches_att_pen_area,-0.012182061292572044
122,club_touches_live_ball,1.1982732505185676
123,club_dribbles_completed,-0.035620123819173344
124,club_dribbles,0.015267438102144482
125,club_dribbles_completed_pct,0.0012924850316888836
126,club_players_dribbled_past,0.0
127,club_nutmegs,0.0
128,club_carries,0.0
129,club_carry_distance,0.0
130,club_carry_progressive_distance,0.0
131,club_progressive_carries,0.0
132,club_carries_into_final_third,0.0
133,club_carries_into_penalty_area,0.0
134,club_pass_targets,0.0
