,xg,npxg,xg_assist,sca,passes_pct,progressive_passes,saves,tackles,interceptions,y
114,0.09999999999999998,0.09,0.11000000000000001,3.1,89.0,3.5,90.0,2.3636363636363638,1.8181818181818181,1.3
115,0.08,0.08,0.09000000000000001,1.8,91.6,3.2,20.0,1.2727272727272727,1.5454545454545454,0.3
116,0.22000000000000003,0.22000000000000003,0.18,2.0,90.2,1.9,40.0,2.090909090909091,1.4545454545454546,1.0
117,0.12999999999999998,0.12999999999999998,0.06000000000000001,3.5,88.5,3.7,90.0,1.7272727272727273,1.4545454545454546,0.4
118,0.07,0.07,0.08,2.4,88.7,3.9,75.0,2.090909090909091,1.0,0.6
119,0.11000000000000001,0.030000000000000006,0.03,1.3,90.1,2.2,33.3,1.1818181818181819,1.2727272727272727,0.6
120,0.25999999999999995,0.25999999999999995,0.2,2.1,88.1,2.2,60.0,1.6363636363636365,0.7272727272727273,0.2
121,0.059999999999999984,0.059999999999999984,0.12,2.5,89.7,3.6,75.0,1.6363636363636365,1.2727272727272727,0.8
122,0.22999999999999998,0.2,0.08,1.7,89.1,4.9,50.0,0.9090909090909091,1.0909090909090908,1.2
123,0.06999999999999999,0.06999999999999999,0.039999999999999994,1.1,89.3,1.5,100.0,2.0,0.8181818181818182,0.2
124,0.23000000000000004,0.23000000000000004,0.17,2.0,87.1,2.0,40.0,0.8181818181818182,0.6363636363636364,0.4
125,0.16999999999999998,0.16999999999999998,0.19,2.9,89.6,3.9,75.0,2.272727272727273,1.3636363636363635,0.8
126,0.15,0.15,0.12,2.3,88.6,2.4,33.3,1.9090909090909087,1.5454545454545454,0.0
127,0.0999999999999999,0.0999999999999999,0.0999999999999999,1.4,87.8,2.3,75.0,1.818181818181818,1.181818181818182,0.4
128,0.15,0.0799999999999999,0.09,1.9,87.5,1.9,80.0,1.5454545454545454,0.8181818181818182,0.4
129,0.04,0.04,0.02,0.8,85.9,1.7,33.3,2.4545454545454546,0.9090909090909092,0.1
130,0.09,0.09,0.06,2.1,85.9,2.4,0.0,1.3636363636363635,1.7272727272727273,0.7
131,0.12,0.0399999999999999,0.08,1.6,87.6,1.7,50.0,2.5454545454545454,1.4545454545454546,1.8
132,0.09,0.09,0.09,1.4,87.3,3.0,100.0,1.818181818181818,1.0909090909090908,0.8
133,0.2099999999999999,0.2099999999999999,0.2199999999999999,2.8,90.8,3.7,66.7,2.636363636363636,1.181818181818182,0.2
134,0.09,0.09,0.1299999999999999,1.6,91.5,3.1,57.1,1.7272727272727273,0.9090909090909092,1.2
135,0.1,0.1,0.0699999999999999,1.0,89.9,1.5,50.0,0.9090909090909092,0.6363636363636364,0.0
136,0.24,0.24,0.14,2.2,90.1,4.4,62.5,1.5454545454545454,0.9090909090909092,0.3
137,0.16,0.16,0.09,2.6,88.2,3.6,100.0,1.9090909090909087,1.6363636363636365,0.4
138,0.16,0.16,0.1599999999999999,1.6,88.4,2.2,83.3,0.5454545454545454,0.8181818181818182,0.6
139,0.24,0.24,0.16,2.6,88.1,2.4,66.7,1.3636363636363635,1.181818181818182,1.2
140,0.15,0.07,0.0699999999999999,1.3,86.9,1.8,50.0,2.363636363636364,1.2727272727272727,0.4
141,0.18,0.18,0.15,2.6,88.6,4.2,75.0,1.6363636363636365,1.0909090909090908,0.2
142,0.2799999999999999,0.2799999999999999,0.1599999999999999,3.3,89.2,3.5,50.0,1.5454545454545454,1.5454545454545454,0.0
143,0.25,0.25,0.09,2.2,90.3,1.9,28.6,1.6363636363636365,1.181818181818182,1.1
144,0.1099999999999999,0.1099999999999999,0.08,1.6,90.1,2.3,0.0,2.0,0.5454545454545454,0.1
145,0.13,0.1299999999999999,0.08,3.3,89.1,2.4,87.5,1.818181818181818,1.0,1.2
146,0.3399999999999999,0.26,0.2099999999999999,2.3,89.7,4.2,88.9,2.272727272727273,1.3636363636363635,0.6
147,0.22,0.22,0.13,2.6,88.8,2.5,62.5,1.7272727272727273,0.9090909090909092,0.4
148,0.08,0.08,0.07,1.1,91.2,2.2,100.0,1.9090909090909087,0.2727272727272727,0.0
149,0.09,0.09,0.08,1.7,89.0,1.6,75.0,2.0,1.0909090909090908,0.2
150,0.09,0.09,0.0699999999999999,1.4,89.8,3.2,25.0,2.272727272727273,1.2727272727272727,0.2
151,0.19,0.19,0.2299999999999999,2.5,91.3,4.2,28.6,2.363636363636364,1.6363636363636365,0.5
152,0.4399999999999999,0.36,0.25,2.6,92.6,2.5,50.0,1.6363636363636365,0.8181818181818182,0.2
153,0.07,0.06,0.06,0.9,87.2,1.3,66.7,2.0,0.5454545454545454,0.1
154,0.22,0.22,0.22,2.7,89.7,4.5,83.3,1.3636363636363635,1.181818181818182,0.4
155,0.2799999999999999,0.2799999999999999,0.21,2.1,88.8,2.3,50.0,1.2727272727272727,1.4545454545454546,0.2
156,0.2,0.12,0.1699999999999999,2.5,90.6,2.5,85.7,1.7272727272727273,0.7272727272727273,0.6
157,0.1499999999999999,0.0699999999999999,0.1299999999999999,2.1,91.1,2.2,66.7,1.818181818181818,1.0909090909090908,1.3
158,0.52,0.52,0.18,3.8,91.2,3.2,54.5,2.272727272727273,1.5454545454545454,0.3
159,0.21,0.21,0.2299999999999999,2.2,88.7,4.2,58.3,1.4545454545454546,1.0909090909090908,1.4
160,0.28,0.12,0.12,2.5,90.6,4.7,60.0,2.0,0.8181818181818182,0.4
161,0.31,0.31,0.2299999999999999,2.3,89.2,3.5,22.2,1.181818181818182,1.3636363636363635,0.6
162,0.26,0.18,0.1,2.6,91.0,3.4,100.0,2.636363636363636,1.4545454545454546,0.1
163,0.2,0.2,0.1,2.5,88.5,4.2,75.0,3.1818181818181817,1.0909090909090908,0.9
164,0.2299999999999999,0.2299999999999999,0.1599999999999999,2.6,89.0,5.3,50.0,2.090909090909091,1.4545454545454546,0.5
165,0.1699999999999999,0.1699999999999999,0.07,2.2,91.9,2.1,66.7,1.181818181818182,0.7272727272727273,0.1
166,0.09,0.09,0.11,1.6,88.3,2.4,75.0,1.9090909090909087,1.818181818181818,0.8
167,0.08,0.08,0.08,2.2,85.5,2.8,50.0,1.5454545454545454,0.8181818181818182,1.0
168,0.09,0.09,0.1,1.9,91.5,3.0,85.7,2.5454545454545454,1.6363636363636365,0.7
169,0.0699999999999999,0.0699999999999999,0.06,1.6,89.4,1.6,50.0,2.636363636363636,1.0,0.3
170,0.08,0.08,0.03,2.1,86.2,3.8,85.7,2.0,1.181818181818182,0.2
171,0.2,0.2,0.18,3.1,90.8,3.0,87.5,2.1818181818181817,0.7272727272727273,0.5
172,0.15,0.15,0.1699999999999999,1.5,88.9,2.9,50.0,2.909090909090909,0.4545454545454545,1.0
173,0.2,0.2,0.1699999999999999,2.9,92.0,3.7,22.2,1.7272727272727273,0.4545454545454545,0.6
174,0.2799999999999999,0.2,0.16,3.3,90.0,3.8,72.7,1.9090909090909087,1.0909090909090908,0.2
175,0.04,0.04,0.03,1.0,90.1,1.7,60.0,2.0,0.8181818181818182,0.1
176,0.19,0.19,0.15,1.4,88.4,3.1,16.7,2.090909090909091,1.0,0.1
